Month,Category,Amount
2024-10,Admin,-78.00
2024-08,Entertainment,-130.97
2024-10,Entertainment,-52.25
2024-07,Holiday,-367.81
2024-10,Holiday,-128.90
2024-07,Income,5632.23
2024-08,Income,5621.03
2024-09,Income,5466.23
2024-10,Income,1766.91
2024-08,Miscellaneous,-58.74
2024-08,Pay mom,-25.00
2024-09,Refunds,239.35
2024-07,Rent,-2100.00
2024-08,Rent,-2100.00
2024-09,Rent,-4200.00
2024-07,Shopping,-1195.19
2024-08,Shopping,-1892.01
2024-09,Shopping,1296.49
2024-10,Shopping,-754.46
2024-07,Subscriptions,-693.00
2024-08,Subscriptions,-681.92
2024-09,Subscriptions,-686.89
2024-10,Subscriptions,-682.02
2024-07,Toiletries,-13.55
2024-08,Toiletries,-39.99
2024-09,Toiletries,-123.00
2024-10,Toiletries,-268.25
2024-07,Transportation,-454.25
2024-08,Transportation,-480.49
2024-09,Transportation,-560.71
2024-10,Transportation,-312.95
2024-07,Uncategorized,-6.00
2024-08,Uncategorized,-25.00
2024-09,Uncategorized,-3.50
2024-10,Uncategorized,0.00
2024-07,Utilities,-47.56
2024-08,Utilities,-308.13
2024-09,Utilities,-720.50
2024-10,Utilities,-155.00
2024-07,activities,-375.26
2024-08,activities,-1065.26
2024-09,activities,-354.88
2024-10,activities,-320.07
2024-07,credit card,744.00
2024-08,credit card,0.00
2024-09,credit card,0.00
2024-07,groceries,-429.91
2024-08,groceries,-825.71
2024-09,groceries,-477.64
2024-10,groceries,-516.50
2024-07,pay lara,-393.00
2024-08,pay lara,-399.00
2024-09,pay lara,-300.00
2024-10,pay lara,-1386.89
2024-07,pay nicholas,-94.00
2024-08,pay nicholas,-892.00
2024-09,pay nicholas,-497.86
2024-10,pay nicholas,-85.00
