Category,2024-07-01,2024-07-08,2024-07-15,2024-07-22,2024-07-29,2024-08-05,2024-08-12,2024-08-19,2024-08-26,2024-09-02,2024-09-09,2024-09-16,2024-09-23,2024-09-30,2024-10-07,2024-10-14,2024-10-21
Activities,-146.25,24.44,6.85,-72.34,32.35,447.30,143.89,148.36,146.18,-46.35,-53.08,-72.00,-81.90,-24.10,-64.43,-52.39,-179.15
Admin,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-78.00,0.00,0.00,0.00
Credit card,0.00,200.00,0.00,218.00,326.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Entertainment,0.00,0.00,0.00,0.00,0.00,0.00,-23.98,67.01,0.00,0.00,0.00,0.00,0.00,52.25,0.00,0.00,0.00
Groceries,-0.10,183.28,93.04,104.36,37.24,-28.29,160.01,50.60,134.19,-128.01,-170.23,-35.05,132.70,-62.63,-114.79,20.43,0.00
Holiday,99.32,325.35,0.00,253.68,755.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-154.50,0.00,0.00,0.00
Income,0.00,0.00,11.00,1766.91,3854.32,0.00,0.00,1766.71,3854.32,0.00,0.00,-395.00,5861.23,0.00,0.00,0.00,1766.91
Miscellaneous,0.00,0.00,0.00,0.00,1.00,0.00,-60.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nothing,5580.42,484.02,500.00,-1915.88,509.74,531.00,257.00,0.00,1065.66,0.00,375.00,0.00,-471.95,509.00,470.00,200.00,1318.09
Pay Aletta,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pay Amy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00
Pay Lara,-207.00,6.00,0.00,-192.00,0.00,0.00,0.00,1.00,-400.00,0.00,0.00,0.00,-300.00,0.00,0.00,0.00,-1386.89
Pay Nicholas,-84.00,0.00,0.00,0.00,-10.00,0.00,-148.00,0.00,-744.00,-40.00,303.18,0.00,-761.04,-85.00,0.00,0.00,0.00
Refunds,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rent,-2100.00,0.00,0.00,0.00,-2100.00,0.00,0.00,0.00,0.00,0.00,-2100.00,0.00,-2100.00,0.00,0.00,0.00,0.00
Shopping,73.85,-116.32,-54.87,-101.19,72.41,12.43,181.94,-404.33,207.83,-24.48,1929.44,10.67,-46.65,-224.63,-85.23,42.05,-75.37
Subscriptions,-30.40,7.99,-22.47,487.00,-207.16,-12.00,-8.00,468.02,-246.60,18.83,-14.44,-8.98,285.02,-42.95,-51.00,0.02,460.01
Toiletries,-15.98,0.00,0.00,0.00,3.50,0.00,36.49,0.00,123.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-268.25
Transportation,90.68,119.73,18.50,80.15,179.55,113.33,143.96,18.90,133.30,-125.82,-135.91,-105.24,-146.54,-21.85,-109.68,-59.47,-105.13
Uncategorised,0.00,-6.00,0.00,0.00,0.00,0.00,-15.67,0.00,0.00,0.00,-3.50,0.00,0.00,-1.00,0.00,1.00,0.00
Utilities,-28.83,0.00,0.00,-0.28,-199.11,-28.83,9.50,0.00,-89.14,0.00,-571.00,-65.16,-65.89,-163.45,0.00,-10.00,0.00
